Sex,Age,Career,Income,Budget,Usage characteristics No1,Usage characteristics No2,Usage characteristics No3,Design characteristics No1,Design characteristics No2,Design characteristics No3,Adidas shoes
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht",Can be used in any situation,Tight and flexible to fit,"It is strong, durable and can be used for a long time",Modern Follow fashion trends,It is classic and traditional,It has a street-style design,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht","It is strong, durable and can be used for a long time",Can be used in any situation,"Light, comfortable, soft, breathable",The design is sleek,It has a minimalist design,Shoes have a shape that is not like other shoes,Adidas Ultra Boost
LGBT,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Can be used in any situation,"It is strong, durable and can be used for a long time",It has a street-style design,The design is sleek,Modern Follow fashion trends,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Tight and flexible to fit,Good impact resistance,"Light, comfortable, soft, breathable",It has a minimalist design,It is classic and traditional,The design is sleek,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Tight and flexible to fit,Can be used in any situation,The design is sleek,Modern Follow fashion trends,Shoes have a shape that is not like other shoes,Adidas Ultra Boost
Male,24 - 30 Years old,Private company,"25,001 - 40,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,Tight and flexible to fit,"It is strong, durable and can be used for a long time",It has a minimalist design,It is classic and traditional,The design is sleek,Adidas Ultra Boost
LGBT,< 18 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"Light, comfortable, soft, breathable",Easy to put on and take off your shoes,It has a minimalist design,It has a street-style design,Modern Follow fashion trends,Adidas Ultra Boost
Male,18 - 23 Years old,Student,"< 5,000 Baht","4,501 - 6,000 Baht","Light, comfortable, soft, breathable",Easy to put on and take off your shoes,Can be used in any situation,It has a minimalist design,Shoes have a shape that is not like other shoes,It has a street-style design,Adidas Ultra Boost
Female,24 - 30 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",Can be used in any situation,It is classic and traditional,The design is sleek,It has a minimalist design,Adidas Ultra Boost
LGBT,18 - 23 Years old,Private company,"25,001 - 40,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"Light, comfortable, soft, breathable","Light, comfortable, soft, breathable",It has a street-style design,The design is sleek,Shoes have a shape that is not like other shoes,Adidas Ultra Boost
Male,24 - 30 Years old,Private company,"25,001 - 40,000 Baht","6,501 - 8,000 Baht",Can be used in any situation,"It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",It has a street-style design,Modern Follow fashion trends,The design is sleek,Adidas Ultra Boost
Male,24 - 30 Years old,Other,"5,000 - 15,000 Baht","4,501 - 6,000 Baht",Can be used in any situation,"It is strong, durable and can be used for a long time",Easy to put on and take off your shoes,The design is sleek,It has a minimalist design,Modern Follow fashion trends,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht",Can be used in any situation,Tight and flexible to fit,"It is strong, durable and can be used for a long time",Modern Follow fashion trends,It is classic and traditional,It has a street-style design,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht","It is strong, durable and can be used for a long time",Can be used in any situation,"Light, comfortable, soft, breathable",The design is sleek,It has a minimalist design,Shoes have a shape that is not like other shoes,Adidas Ultra Boost
LGBT,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Can be used in any situation,"It is strong, durable and can be used for a long time",It has a street-style design,The design is sleek,Modern Follow fashion trends,Adidas Ultra Boost
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","4,501 - 6,000 Baht","Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",Can be used in any situation,It has a minimalist design,Modern Follow fashion trends,It has a street-style design,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Tight and flexible to fit,Good impact resistance,"Light, comfortable, soft, breathable",It has a minimalist design,It is classic and traditional,The design is sleek,Adidas Ultra Boost
Male,< 18 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Easy to clean,"It is strong, durable and can be used for a long time",Tight and flexible to fit,Shoes have a shape that is not like other shoes,Modern Follow fashion trends,Colorful,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Tight and flexible to fit,Can be used in any situation,The design is sleek,Modern Follow fashion trends,Shoes have a shape that is not like other shoes,Adidas Ultra Boost
Male,24 - 30 Years old,Private company,"25,001 - 40,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,Tight and flexible to fit,"It is strong, durable and can be used for a long time",It has a minimalist design,It is classic and traditional,The design is sleek,Adidas Ultra Boost
Female,24 - 30 Years old,Other,"5,000 - 15,000 Baht","4,501 - 6,000 Baht","Light, comfortable, soft, breathable",Tight and flexible to fit,Can be used in any situation,The design is sleek,It has a minimalist design,It has a street-style design,Adidas Ultra Boost
LGBT,< 18 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"Light, comfortable, soft, breathable",Easy to put on and take off your shoes,It has a minimalist design,It has a street-style design,Modern Follow fashion trends,Adidas Ultra Boost
Male,18 - 23 Years old,Student,"< 5,000 Baht","4,501 - 6,000 Baht","Light, comfortable, soft, breathable",Easy to put on and take off your shoes,Can be used in any situation,It has a minimalist design,Shoes have a shape that is not like other shoes,It has a street-style design,Adidas Ultra Boost
Female,24 - 30 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",Can be used in any situation,It is classic and traditional,The design is sleek,It has a minimalist design,Adidas Ultra Boost
